Label,Index
HIP-head-m1_RH,1
HIP-head-m2_RH,2
THA-VAip_RH,3
THA-VAia_RH,4
HIP-head-l_RH,5
HIP-body_RH,6
HIP-tail_RH,7
THA-VPm_RH,8
THA-VPl_RH,9
THA-VAs_RH,10
THA-DAm_RH,11
THA-DAl_RH,12
PUT-VA_RH,13
PUT-DA_RH,14
PUT-VP_RH,15
PUT-DP_RH,16
CAU-VA_RH,17
CAU-DA_RH,18
CAU-body_RH,19
CAU-tail_RH,20
lAMY_RH,21
mAMY_RH,22
THA-DP_RH,23
NAc-shell_RH,24
NAc-core_RH,25
pGP_RH,26
aGP_RH,27
HIP-head-m1_LH,28
HIP-head-m2_LH,29
THA-VAip_LH,30
THA-VAia_LH,31
HIP-head-l_LH,32
HIP-body_LH,33
HIP-tail_LH,34
THA-VPm_LH,35
THA-VPl_LH,36
THA-VAs_LH,37
THA-DAm_LH,38
THA-DAl_LH,39
PUT-VA_LH,40
PUT-DA_LH,41
PUT-VP_LH,42
PUT-DP_LH,43
CAU-VA_LH,44
CAU-DA_LH,45
CAU-body_LH,46
CAU-tail_LH,47
lAMY_LH,48
mAMY_LH,49
THA-DP_LH,50
NAc-shell_LH,51
NAc-core_LH,52
pGP_LH,53
aGP_LH,54
